,data,velocità vento [km/h],cardinalità vento,direzione vento [°],pioggia cumulata [mm],pioggia istantanea [mm],pressione [hPa],temperatura di rugiada [°C],umidità relativa [%],temperatura [°C]
0,2021-12-29 17:34:00,7.90,W,261.00,0.0,0,1010.5,10.6,72,15.6
1,2021-12-29 17:39:00,6.10,WSW,238.00,0.0,0,1010.3,10.7,73,15.5
2,2021-12-29 17:44:00,8.20,W,274.00,0.0,0,1010.6,10.7,74,15.3
3,2021-12-29 17:49:00,0.00,NNW,340.00,0.0,0,1010.8,10.6,74,15.2
4,2021-12-29 17:54:00,2.10,W,269.00,0.0,0,1010.7,10.5,73,15.3
5,2021-12-29 17:59:00,8.20,NW,305.00,0.0,0,1010.9,10.5,73,15.3
6,2021-12-29 18:04:00,3.50,N,0.00,0.0,0,1010.9,10.6,73,15.4
7,2021-12-29 18:09:00,2.10,NE,41.00,0.0,0,1011.2,11.3,77,15.3
8,2021-12-29 18:14:00,6.40,NNE,27.00,0.0,0,1010.9,11.1,78,14.9
9,2021-12-29 18:19:00,2.10,NE,36.00,0.0,0,1010.9,11.0,77,15.0
10,2021-12-29 18:24:00,3.20,NE,41.00,0.0,0,1011.3,10.9,76,15.1
11,2021-12-29 18:29:00,0.00,WNW,288.00,0.0,0,1011.0,11.0,77,15.0
12,2021-12-29 18:34:00,3.20,NNE,32.00,0.0,0,1011.2,11.1,78,14.9
13,2021-12-29 18:39:00,2.10,N,359.00,0.0,0,1011.1,11.1,78,14.9
14,2021-12-29 18:44:00,1.40,NNW,341.00,0.0,0,1011.1,11.1,79,14.7
15,2021-12-29 18:49:00,2.90,NE,48.00,0.0,0,1011.4,11.1,80,14.5
16,2021-12-29 18:54:00,4.30,WNW,289.00,0.0,0,1011.1,11.0,79,14.6
17,2021-12-29 19:00:00,4.00,N,355.00,0.0,0,1011.3,11.2,80,14.6
18,2021-12-29 19:04:00,2.10,WSW,250.00,0.0,0,1011.4,11.2,80,14.6
19,2021-12-29 19:09:00,5.50,NNE,28.00,0.0,0,1011.3,10.7,77,14.7
20,2021-12-29 19:14:00,3.50,W,265.00,0.0,0,1011.4,10.8,76,15.0
21,2021-12-29 19:19:00,2.10,WSW,245.00,0.0,0,1011.6,10.7,76,14.9
22,2021-12-29 19:24:00,2.10,SSW,210.00,0.0,0,1011.2,10.7,76,14.9
23,2021-12-29 19:29:00,2.10,SSE,158.00,0.0,0,1011.3,10.6,75,15.0
24,2021-12-29 19:34:00,2.90,N,354.00,0.0,0,1011.4,10.5,74,15.1
25,2021-12-29 19:39:00,0.60,NNW,334.00,0.0,0,1011.6,10.4,73,15.2
26,2021-12-29 19:44:00,0.30,NNW,333.00,0.0,0,1011.6,10.5,74,15.1
27,2021-12-29 19:49:00,1.10,N,7.00,0.0,0,1011.6,10.4,74,15.0
28,2021-12-29 19:54:00,2.10,NNE,25.00,0.0,0,1011.5,10.8,76,15.0
29,2021-12-29 20:00:00,0.00,NW,309.00,0.0,0,1011.7,10.8,79,14.4
30,2021-12-29 20:04:00,7.20,WSW,246.00,0.0,0,1011.9,10.9,81,14.1
31,2021-12-29 20:09:00,5.00,W,280.00,0.0,0,1011.8,10.8,79,14.4
32,2021-12-29 20:14:00,0.00,NNW,328.00,0.0,0,1012.0,10.8,77,14.8
33,2021-12-29 20:19:00,0.00,NW,304.00,0.0,0,1012.0,10.5,76,14.7
34,2021-12-29 20:24:00,0.00,N,349.00,0.0,0,1012.0,10.6,76,14.8
35,2021-12-29 20:29:00,2.10,WNW,285.00,0.0,0,1012.0,10.6,75,15.0
36,2021-12-29 20:34:00,0.30,NW,304.00,0.0,0,1011.9,10.3,74,14.9
37,2021-12-29 20:39:00,0.00,NNW,341.00,0.0,0,1011.8,10.3,74,14.9
38,2021-12-29 20:44:00,1.80,NNW,336.00,0.0,0,1011.8,10.2,73,15.0
39,2021-12-29 20:49:00,1.80,WSW,243.00,0.0,0,1011.8,10.2,73,15.0
40,2021-12-29 20:54:00,3.50,NNE,22.00,0.0,0,1011.6,10.3,74,14.9
41,2021-12-29 21:00:00,4.70,NNE,17.00,0.0,0,1011.7,10.3,72,15.3
42,2021-12-29 21:04:00,3.20,NNE,13.00,0.0,0,1011.7,10.2,72,15.2
43,2021-12-29 21:09:00,7.20,N,11.00,0.0,0,1011.8,10.3,72,15.3
44,2021-12-29 21:14:00,6.10,N,6.00,0.0,0,1011.8,10.1,71,15.3
45,2021-12-29 21:19:00,0.30,NNW,327.00,0.0,0,1011.9,10.3,73,15.1
46,2021-12-29 21:24:00,2.10,NW,315.00,0.0,0,1012.2,10.3,73,15.1
47,2021-12-29 21:29:00,4.70,NW,323.00,0.0,0,1012.1,10.3,74,14.9
48,2021-12-29 21:34:00,7.20,NW,306.00,0.0,0,1012.1,10.6,77,14.6
49,2021-12-29 21:39:00,1.80,NE,53.00,0.0,0,1012.3,11.1,79,14.7
50,2021-12-29 21:44:00,0.00,N,357.00,0.0,0,1012.1,11.6,83,14.5
51,2021-12-29 21:49:00,1.40,NNE,17.00,0.0,0,1012.1,11.8,85,14.3
52,2021-12-29 21:54:00,1.80,N,10.00,0.0,0,1012.0,11.8,87,13.9
53,2021-12-29 21:59:00,3.50,NNE,15.00,0.0,0,1012.0,11.7,88,13.7
54,2021-12-29 22:04:00,5.50,N,6.00,0.0,0,1012.1,11.5,88,13.5
55,2021-12-29 22:09:00,1.80,NNW,344.00,0.0,0,1012.0,11.1,88,13.1
56,2021-12-29 22:14:00,4.00,N,356.00,0.0,0,1012.0,11.0,87,13.1
57,2021-12-29 22:19:00,0.30,NW,325.00,0.0,0,1012.3,10.8,86,13.1
58,2021-12-29 22:24:00,1.80,NNW,330.00,0.0,0,1012.1,10.9,86,13.2
59,2021-12-29 22:29:00,1.80,NW,309.00,0.0,0,1012.0,10.5,84,13.2
60,2021-12-29 22:34:00,2.60,WNW,299.00,0.0,0,1012.0,10.4,76,14.6
61,2021-12-29 22:39:00,4.00,NW,324.00,0.0,0,1012.2,10.3,75,14.7
62,2021-12-29 22:44:00,1.80,NNW,340.00,0.0,0,1012.0,10.2,74,14.8
63,2021-12-29 22:49:00,6.40,NNW,331.00,0.0,0,1012.0,10.3,74,14.9
64,2021-12-29 22:54:00,7.90,WNW,283.00,0.0,0,1012.1,10.3,75,14.7
65,2021-12-29 22:59:00,6.40,NNW,336.00,0.0,0,1012.0,10.1,74,14.6
66,2021-12-29 23:04:00,9.70,NW,305.00,0.0,0,1011.9,10.0,73,14.8
67,2021-12-29 23:09:00,10.50,NNW,331.00,0.0,0,1011.9,10.2,73,15.0
68,2021-12-29 23:14:00,6.10,W,262.00,0.0,0,1011.8,10.1,73,14.9
69,2021-12-29 23:19:00,3.50,NW,326.00,0.0,0,1011.8,10.1,74,14.7
70,2021-12-29 23:24:00,8.70,NNW,338.00,0.0,0,1011.5,10.1,74,14.6
71,2021-12-29 23:29:00,2.90,NW,326.00,0.0,0,1011.7,10.0,72,15.0
72,2021-12-29 23:34:00,3.20,WNW,290.00,0.0,0,1011.6,10.2,73,15.0
73,2021-12-29 23:39:00,1.40,NNW,333.00,0.0,0,1011.5,10.0,73,14.8
74,2021-12-29 23:44:00,7.60,N,351.00,0.0,0,1011.6,10.1,74,14.6
75,2021-12-29 23:49:00,6.10,WNW,299.00,0.0,0,1011.8,10.1,74,14.6
76,2021-12-29 23:54:00,5.50,WNW,288.00,0.0,0,1011.6,9.8,75,14.2
77,2021-12-30 00:00:00,1.80,N,4.00,0.0,0,1011.6,9.8,75,14.2
78,2021-12-30 00:04:00,0.30,NW,326.00,0.0,0,1011.8,9.8,76,14.0
79,2021-12-30 00:09:00,4.70,NNW,345.00,0.0,0,1011.8,9.9,76,14.1
80,2021-12-30 00:14:00,3.20,W,273.00,0.0,0,1011.8,10.1,74,14.6
81,2021-12-30 00:19:00,3.50,NE,47.00,0.0,0,1012.0,10.1,75,14.5
82,2021-12-30 00:24:00,1.80,NW,317.00,0.0,0,1012.1,9.9,76,14.1
83,2021-12-30 00:29:00,2.10,N,10.00,0.0,0,1012.0,9.9,76,14.1
84,2021-12-30 00:34:00,0.00,NW,309.00,0.0,0,1012.2,9.8,76,14.0
85,2021-12-30 00:39:00,0.00,NNW,328.00,0.0,0,1012.1,9.7,77,13.7
86,2021-12-30 00:44:00,3.20,NW,320.00,0.0,0,1012.0,9.8,76,14.0
87,2021-12-30 00:49:00,2.90,WNW,301.00,0.0,0,1012.4,9.8,76,14.0
88,2021-12-30 00:54:00,2.90,WNW,301.00,0.0,0,1012.4,9.8,76,14.0
89,2021-12-30 01:14:00,4.00,NNW,328.00,0.0,0,1012.4,10.0,74,14.5
90,2021-12-30 01:19:00,4.00,N,352.00,0.0,0,1012.5,9.9,76,14.1
91,2021-12-30 01:24:00,0.00,NNW,328.00,0.0,0,1012.5,10.0,79,13.6
92,2021-12-30 01:29:00,4.00,NE,43.00,0.0,0,1012.5,10.5,81,13.7
93,2021-12-30 01:34:00,1.80,NNW,344.00,0.0,0,1012.6,10.7,82,13.7
94,2021-12-30 01:39:00,2.10,NNE,20.00,0.0,0,1012.7,10.9,84,13.6
95,2021-12-30 01:44:00,0.60,NNW,342.00,0.0,0,1012.6,10.9,85,13.4
96,2021-12-30 01:49:00,2.60,W,262.00,0.0,0,1012.6,10.7,85,13.2
97,2021-12-30 01:54:00,3.50,SW,236.00,0.0,0,1012.7,10.7,86,13.0
98,2021-12-30 01:59:00,3.50,SW,236.00,0.0,0,1012.6,10.7,86,13.0
99,2021-12-30 02:04:00,2.10,WSW,250.00,0.0,0,1012.7,10.4,83,13.2
100,2021-12-30 02:09:00,2.10,WSW,250.00,0.0,0,1012.6,10.4,83,13.2
101,2021-12-30 02:14:00,0.00,NNW,330.00,0.0,0,1012.6,10.5,81,13.7
