,data,velocità vento [km/h],cardinalità vento,direzione vento [°],pioggia cumulata [mm],pioggia istantanea [mm],pressione [hPa],temperatura di rugiada [°C],umidità relativa [%],temperatura [°C]
0,2022-07-12 18:04:00,0.60,NW,310.00,0,0,1019.7,16.9,58,25.8
1,2022-07-12 18:09:00,3.20,WSW,252.00,0,0,1019.7,17,58,25.9
2,2022-07-12 18:13:00,4.00,S,174.00,0,0,1019.7,17.2,59,25.8
3,2022-07-12 18:18:00,0.30,WNW,291.00,0,0,1019.8,16.9,57,26
4,2022-07-12 18:24:00,2.90,NNE,31.00,0,0,1019.7,16.1,54,26.1
5,2022-07-12 18:29:00,6.40,SSW,192.00,0,0,1019.8,15.2,51,26.1
6,2022-07-12 18:34:00,2.90,W,272.00,0,0,1019.9,15.3,51,26.2
7,2022-07-12 18:39:00,6.40,WSW,246.00,0,0,1019.9,14.9,50,26.1
8,2022-07-12 18:44:00,4.30,W,261.00,0,0,1020,14.9,50,26.1
9,2022-07-12 18:49:00,12.60,WSW,243.00,0,0,1020,14.7,50,25.9
10,2022-07-12 18:54:00,4.70,WSW,248.00,0,0,1019.8,13.6,46,26.1
11,2022-07-12 18:59:00,15.10,WSW,255.00,0,0,1019.9,14.1,47,26.3
12,2022-07-12 19:04:00,13.00,N,0.00,0,0,1019.9,13.1,44,26.3
13,2022-07-12 19:09:00,10.80,WSW,246.00,0,0,1019.8,13.9,47,26.1
14,2022-07-12 19:14:00,8.70,SW,229.00,0,0,1019.9,13.6,47,25.8
15,2022-07-12 19:19:00,9.30,W,264.00,0,0,1020,12.9,44,26.1
16,2022-07-12 19:24:00,0.00,NNW,333.00,0,0,1020.1,15.3,51,26.2
17,2022-07-12 19:29:00,0.00,NNW,332.00,0,0,1020.2,14,48,25.8
18,2022-07-12 19:34:00,1.40,N,353.00,0,0,1020.4,14.3,48,26.1
19,2022-07-12 19:39:00,0.60,NW,313.00,0,0,1020.3,14.9,51,25.8
20,2022-07-12 19:44:00,3.50,W,267.00,0,0,1020.5,14.6,51,25.4
21,2022-07-12 19:49:00,3.50,W,275.00,0,0,1020.6,14.4,51,25.2
22,2022-07-12 19:54:00,9.30,WSW,249.00,0,0,1020.5,14.1,50,25.2
23,2022-07-12 19:59:00,4.70,WNW,303.00,0,0,1020.3,14.4,50,25.6
24,2022-07-12 20:04:00,5.50,WNW,299.00,0,0,1020.5,14.3,50,25.5
25,2022-07-12 20:09:00,4.70,WNW,296.00,0,0,1020.4,14.2,51,25
26,2022-07-12 20:14:00,5.50,W,269.00,0,0,1020.5,14.5,52,25
27,2022-07-12 20:19:00,4.00,W,271.00,0,0,1020.3,14.2,52,24.7
28,2022-07-12 20:24:00,5.80,WSW,248.00,0,0,1020.5,14.2,52,24.7
29,2022-07-12 20:29:00,6.10,SW,226.00,0,0,1020.3,14.2,51,25
30,2022-07-12 20:34:00,2.90,SW,235.00,0,0,1020.4,14.1,49,25.6
31,2022-07-12 20:39:00,6.10,SW,214.00,0,0,1020.5,13.9,48,25.7
32,2022-07-12 20:44:00,5.50,W,262.00,0,0,1020.4,13.2,46,25.7
33,2022-07-12 20:49:00,4.70,W,278.00,0,0,1020.3,13,47,25.1
34,2022-07-12 20:54:00,4.70,WSW,256.00,0,0,1020.3,13.3,48,25
35,2022-07-12 20:59:00,2.90,W,264.00,0,0,1020.4,12.9,47,25
36,2022-07-12 21:04:00,2.90,W,281.00,0,0,1020.2,13.2,47,25.3
37,2022-07-12 21:09:00,1.10,NNW,333.00,0,0,1020.3,13.3,48,25
38,2022-07-12 21:14:00,1.40,WNW,297.00,0,0,1020.2,12.7,47,24.8
39,2022-07-12 21:19:00,0.30,N,355.00,0,0,1020.1,13.2,48,24.9
40,2022-07-12 21:24:00,2.90,WSW,246.00,0,0,1020.1,13.4,49,24.8
41,2022-07-12 21:29:00,11.10,WSW,256.00,0,0,1019.9,12.5,46,24.9
42,2022-07-12 21:34:00,14.80,WSW,255.00,0,0,1020,12.5,46,24.9
43,2022-07-12 21:39:00,9.30,SW,224.00,0,0,1020,12.6,47,24.7
44,2022-07-12 21:44:00,8.70,WSW,238.00,0,0,1020.1,12.5,47,24.6
45,2022-07-12 21:49:00,13.00,WSW,237.00,0,0,1020,12.4,46,24.8
46,2022-07-12 21:54:00,10.50,WSW,239.00,0,0,1020.1,12.6,47,24.7
47,2022-07-12 21:59:00,10.80,W,269.00,0,0,1019.8,12.8,48,24.5
48,2022-07-12 22:04:00,12.20,SW,230.00,0,0,1019.8,13.3,50,24.4
49,2022-07-12 22:09:00,12.60,SSW,213.00,0,0,1019.7,13.3,50,24.4
50,2022-07-12 22:14:00,12.20,WSW,237.00,0,0,1019.9,13.6,51,24.4
51,2022-07-12 22:19:00,9.30,WSW,243.00,0,0,1020,13.8,52,24.3
52,2022-07-12 22:24:00,7.90,WSW,241.00,0,0,1020.1,14.1,53,24.3
53,2022-07-12 22:29:00,6.40,NW,304.00,0,0,1020.2,14,53,24.2
54,2022-07-12 22:34:00,12.20,WSW,238.00,0,0,1020.2,13.8,52,24.3
55,2022-07-12 22:39:00,12.20,WSW,245.00,0,0,1020.3,14,52,24.5
56,2022-07-12 22:44:00,7.90,SW,235.00,0,0,1019.9,14,52,24.5
57,2022-07-12 22:49:00,10.80,WSW,248.00,0,0,1020.4,14.2,53,24.4
