,data,velocità vento [km/h],cardinalità vento,direzione vento [°],pioggia cumulata [mm],pioggia istantanea [mm],pressione [hPa],temperatura di rugiada [°C],umidità relativa [%],temperatura [°C]
0,2022-04-23 19:44:00,1.80,WNW,294.00,0,0,1013.2,11.7,81,14.9
1,2022-04-23 19:49:00,2.10,W,276.00,0,0,1013.2,11.7,81,14.9
2,2022-04-23 19:54:00,3.50,WSW,246.00,0,0,1013.2,11.7,81,14.9
3,2022-04-23 19:59:00,3.20,WSW,254.00,0,0,1013.1,11.7,82,14.7
4,2022-04-23 20:04:00,4.00,W,272.00,0,0,1012.9,11.7,83,14.6
5,2022-04-23 20:09:00,5.00,WSW,257.00,0,0,1013.3,11.5,83,14.4
6,2022-04-23 20:14:00,3.50,WSW,238.00,0,0,1013.1,11.6,83,14.5
7,2022-04-23 20:19:00,3.50,SW,223.00,0,0,1012.9,11.7,82,14.7
8,2022-04-23 20:24:00,4.70,SSW,212.00,0,0,1012.9,11.6,81,14.8
9,2022-04-23 20:29:00,4.30,SSW,209.00,0,0,1013,11.5,80,14.9
10,2022-04-23 20:34:00,5.00,SW,219.00,0,0,1013,11.3,80,14.7
11,2022-04-23 20:39:00,8.20,SW,224.00,0,0,1012.9,11.4,81,14.6
12,2022-04-23 20:44:00,5.50,SW,233.00,0,0,1012.8,11.4,81,14.6
13,2022-04-23 20:49:00,9.70,WSW,249.00,0,0,1012.8,11.1,79,14.7
14,2022-04-23 20:54:00,9.30,SW,236.00,0,0,1012.9,11,78,14.8
15,2022-04-23 20:59:00,9.70,SW,235.00,0,0,1012.8,11,78,14.8
16,2022-04-23 21:04:00,7.90,W,267.00,0,0,1012.8,10.9,78,14.7
17,2022-04-23 21:09:00,6.10,WSW,243.00,0,0,1013,10.7,78,14.5
18,2022-04-23 21:14:00,7.60,WSW,241.00,0,0,1013.1,10.6,78,14.4
19,2022-04-23 21:19:00,6.10,W,262.00,0,0,1013.2,10.4,77,14.4
20,2022-04-23 21:24:00,6.10,WSW,237.00,0,0,1013.2,10.4,77,14.4
21,2022-04-23 21:29:00,6.10,SSW,210.00,0,0,1013.3,10.2,76,14.4
22,2022-04-23 21:34:00,7.20,WSW,244.00,0,0,1013.2,10.2,75,14.6
23,2022-04-23 21:39:00,7.20,WSW,244.00,0,0,1013,9.9,74,14.4
24,2022-04-23 21:44:00,4.30,WSW,253.00,0,0,1013.2,9.7,75,14.1
25,2022-04-23 21:49:00,3.50,W,271.00,0,0,1013,9.7,76,13.9
26,2022-04-23 21:54:00,5.00,WSW,258.00,0,0,1013.2,9.8,77,13.8
27,2022-04-23 22:00:00,5.50,WSW,242.00,0,0,1012.9,9.7,77,13.7
28,2022-04-23 22:04:00,6.10,WSW,255.00,0,0,1012.9,9.5,76,13.7
29,2022-04-23 22:09:00,7.90,WSW,245.00,0,0,1013.1,9,72,14
30,2022-04-23 22:14:00,4.70,WSW,249.00,0,0,1013,9.1,72,14.1
31,2022-04-23 22:19:00,5.00,WSW,240.00,0,0,1013.1,9.2,72,14.2
32,2022-04-23 22:24:00,3.50,W,275.00,0,0,1013.2,9.2,71,14.4
33,2022-04-23 22:29:00,2.90,W,271.00,0,0,1013,8.9,71,14.1
34,2022-04-23 22:34:00,0.00,NW,321.00,0,0,1012.8,8.9,71,14.1
35,2022-04-23 22:39:00,2.60,N,354.00,0,0,1012.7,9.7,73,14.5
36,2022-04-23 22:44:00,0.30,NNW,327.00,0,0,1013,9.8,75,14.2
37,2022-04-23 22:49:00,2.60,NW,311.00,0,0,1012.6,10.2,78,13.9
38,2022-04-23 22:54:00,1.10,WNW,297.00,0,0,1012.9,10,80,13.4
39,2022-04-23 22:59:00,1.80,W,265.00,0,0,1012.9,9.7,80,13.1
40,2022-04-23 23:04:00,1.80,SSW,210.00,0,0,1013.1,9.1,77,13.1
41,2022-04-23 23:09:00,0.30,WNW,287.00,0,0,1013,10.8,80,14.2
42,2022-04-23 23:14:00,0.00,WNW,298.00,0,0,1013,11.2,82,14.2
43,2022-04-23 23:19:00,0.00,NNW,337.00,0,0,1012.9,11,82,14
44,2022-04-23 23:24:00,0.00,NW,304.00,0,0,1013,10.2,81,13.4
45,2022-04-23 23:29:00,0.30,NW,304.00,0,0,1012.8,8.6,76,12.7
46,2022-04-23 23:34:00,1.80,WNW,302.00,0,0,1012.8,7.9,71,13
47,2022-04-23 23:39:00,1.80,WNW,303.00,0,0,1012.8,7.7,69,13.3
48,2022-04-23 23:44:00,2.10,WNW,286.00,0,0,1012.9,8.5,72,13.5
49,2022-04-23 23:49:00,2.60,WNW,283.00,0,0,1012.7,8.4,72,13.4
50,2022-04-23 23:54:00,2.90,W,281.00,0,0,1012.6,9.1,74,13.6
51,2022-04-24 00:00:00,1.80,WNW,286.00,0,0,1012.8,9.8,77,13.8
52,2022-04-24 00:04:00,3.50,WSW,254.00,0,0,1012.8,9.3,77,13.3
53,2022-04-24 00:09:00,1.40,WNW,289.00,0,0,1012.9,10.6,79,14.2
54,2022-04-24 00:14:00,0.00,WNW,298.00,0,0,1012.7,10.8,80,14.2
55,2022-04-24 00:19:00,1.80,WSW,248.00,0,0,1012.8,10.7,80,14.1
56,2022-04-24 00:24:00,3.20,WSW,240.00,0,0,1012.7,10.1,79,13.7
57,2022-04-24 00:29:00,2.10,WSW,252.00,0,0,1012.9,10.4,79,14
58,2022-04-24 00:34:00,4.00,WSW,244.00,0,0,1012.8,10.7,79,14.3
59,2022-04-24 00:39:00,2.90,WSW,241.00,0,0,1012.8,8.9,72,13.9
60,2022-04-24 00:44:00,2.90,WSW,251.00,0,0,1012.6,7.8,66,14
61,2022-04-24 00:49:00,2.90,WSW,242.00,0,0,1012.6,7.2,63,14.1
62,2022-04-24 00:54:00,3.50,WSW,242.00,0,0,1012.6,7.1,64,13.8
63,2022-04-24 00:59:00,4.00,WSW,254.00,0,0,1012.7,7.7,65,14.2
64,2022-04-24 01:04:00,0.00,NNW,335.00,0,0,1012.6,8.8,68,14.6
65,2022-04-24 01:09:00,0.60,ESE,112.00,0,0,1012.8,9.1,70,14.5
66,2022-04-24 01:14:00,0.00,NW,315.00,0,0,1012.8,9.3,72,14.3
67,2022-04-24 01:19:00,0.30,NW,305.00,0,0,1012.7,9.1,72,14.1
68,2022-04-24 01:24:00,1.80,WSW,246.00,0,0,1012.8,8.5,70,13.9
69,2022-04-24 01:29:00,0.00,WNW,295.00,0,0,1012.9,7.2,66,13.4
70,2022-04-24 01:34:00,2.60,W,260.00,0,0,1012.8,7.2,66,13.4
71,2022-04-24 01:39:00,3.20,W,277.00,0,0,1012.7,7.8,68,13.6
72,2022-04-24 01:44:00,4.00,W,259.00,0,0,1012.7,8,70,13.3
