,data,velocità vento [km/h],cardinalità vento,direzione vento [°],pioggia cumulata [mm],pioggia istantanea [mm],pressione [hPa],temperatura di rugiada [°C],umidità relativa [%],temperatura [°C]
0,2022-02-16 20:34:00,0.60,NNW,337.00,5.1,0,1015.7,5.2,74,9.6
1,2022-02-16 20:39:00,4.70,NNW,334.00,5.1,0,1015.8,5.5,74,9.9
2,2022-02-16 20:44:00,2.90,NNW,327.00,5.1,0,1016,5.6,74,10
3,2022-02-16 20:49:00,5.50,NW,319.00,5.1,0,1015.9,5.8,76,9.8
4,2022-02-16 20:54:00,1.80,NW,325.00,5.1,0,1015.9,5.9,77,9.7
5,2022-02-16 20:59:00,0.00,WNW,292.00,5.1,0,1016,5.7,77,9.5
6,2022-02-16 21:04:00,7.90,SW,216.00,5.1,0,1015.8,5.6,77,9.4
7,2022-02-16 21:09:00,4.30,SSW,212.00,5.1,0,1015.5,5.5,76,9.5
8,2022-02-16 21:14:00,4.00,W,274.00,5.1,0,1015.2,5.6,76,9.6
9,2022-02-16 21:19:00,7.20,WSW,245.00,5.1,0,1015.4,5.9,78,9.5
10,2022-02-16 21:24:00,14.30,WNW,282.00,5.1,0,1015.5,5.7,78,9.3
11,2022-02-16 21:29:00,15.40,WSW,251.00,5.1,0,1015.3,5.6,77,9.4
12,2022-02-16 21:34:00,13.00,WSW,243.00,5.1,0,1015.7,5.7,77,9.5
13,2022-02-16 21:39:00,22.40,WNW,297.00,5.1,0,1015.4,5.6,76,9.6
14,2022-02-16 21:44:00,19.50,WSW,249.00,5.1,0,1015.4,5.4,75,9.6
15,2022-02-16 21:49:00,13.40,SW,232.00,5.1,0,1015.4,5.5,75,9.7
16,2022-02-16 21:54:00,6.40,SW,235.00,5.1,0,1015.6,5.4,75,9.6
17,2022-02-16 21:59:00,8.20,WNW,287.00,5.1,0,1015.4,5.3,75,9.5
18,2022-02-16 22:04:00,2.60,NNW,339.00,5.1,0,1015.2,5.3,75,9.5
19,2022-02-16 22:09:00,8.70,W,269.00,5.1,0,1015.3,5.3,75,9.5
20,2022-02-16 22:14:00,9.00,W,264.00,5.1,0,1015.2,5.3,75,9.5
21,2022-02-16 22:19:00,7.60,W,277.00,5.1,0,1015.6,5.1,74,9.5
22,2022-02-16 22:24:00,10.50,W,263.00,5.1,0,1015.2,5.2,74,9.6
23,2022-02-16 22:29:00,5.00,WSW,251.00,5.1,0,1015,5.1,73,9.7
24,2022-02-16 22:34:00,11.10,W,277.00,5.1,0,1015.2,5.2,73,9.8
25,2022-02-16 22:39:00,2.90,NW,305.00,5.1,0,1014.9,5.2,73,9.8
26,2022-02-16 22:44:00,2.60,WNW,298.00,5.1,0,1014.9,5.2,73,9.8
27,2022-02-16 22:49:00,2.90,W,276.00,5.1,0,1014.9,5.3,73,9.9
28,2022-02-16 22:54:00,1.80,WSW,238.00,5.1,0,1015.1,5.3,73,9.9
29,2022-02-16 22:59:00,3.50,NNE,33.00,5.1,0,1014.8,5.4,74,9.8
30,2022-02-16 23:04:00,2.10,ESE,121.00,0,0,1014.8,5.4,74,9.8
31,2022-02-16 23:09:00,10.10,SSW,210.00,0,0,1014.7,5.2,73,9.8
32,2022-02-16 23:14:00,2.10,SE,144.00,0,0,1014.6,5.2,73,9.8
33,2022-02-16 23:19:00,4.70,N,10.00,0,0,1014.5,5.2,73,9.8
34,2022-02-16 23:24:00,9.30,NNW,336.00,0,0,1014.4,5.2,73,9.8
35,2022-02-16 23:29:00,7.60,WSW,238.00,0,0,1014.7,5.2,73,9.8
36,2022-02-16 23:34:00,9.30,W,265.00,0,0,1014.5,5.4,73,10
37,2022-02-16 23:39:00,4.70,W,281.00,0,0,1014.7,5.3,73,9.9
38,2022-02-16 23:44:00,5.50,WNW,294.00,0,0,1014.4,5.4,73,10
39,2022-02-16 23:49:00,21.20,WSW,250.00,0,0,1014.4,5.4,73,10
40,2022-02-16 23:54:00,6.40,W,269.00,0,0,1014.3,5.5,74,9.9
41,2022-02-16 23:59:00,9.30,WSW,243.00,0,0,1014.5,5.3,73,9.9
42,2022-02-17 00:04:00,7.90,W,266.00,0,0,1014.1,5.4,73,10
43,2022-02-17 00:09:00,14.00,WNW,284.00,0,0,1013.9,5.6,73,10.2
44,2022-02-17 00:14:00,19.80,SW,226.00,0,0,1014,5.4,72,10.2
45,2022-02-17 00:19:00,18.00,SW,233.00,0,0,1014.2,5.5,72,10.3
46,2022-02-17 00:24:00,13.00,WSW,249.00,0,0,1014.2,5.5,72,10.3
47,2022-02-17 00:29:00,11.10,W,272.00,0,0,1014.4,5.6,73,10.2
48,2022-02-17 00:34:00,9.30,NW,321.00,0,0,1014.3,5.5,72,10.3
49,2022-02-17 00:39:00,3.50,WNW,289.00,0,0,1014.4,5.5,72,10.3
50,2022-02-17 00:44:00,2.10,N,2.00,0,0,1014.4,5.6,73,10.2
51,2022-02-17 00:49:00,2.60,NW,307.00,0,0,1014.7,5.6,73,10.2
52,2022-02-17 00:54:00,0.00,NNW,342.00,0,0,1014.5,5.6,73,10.2
53,2022-02-17 00:59:00,2.10,W,265.00,0,0,1014.3,5.6,73,10.2
54,2022-02-17 01:04:00,1.80,NW,310.00,0,0,1014.2,5.6,73,10.2
55,2022-02-17 01:09:00,7.20,WSW,258.00,0,0,1014.3,5.6,73,10.2
56,2022-02-17 01:14:00,4.70,W,264.00,0,0,1014.1,5.7,73,10.3
57,2022-02-17 01:19:00,1.40,NW,312.00,0,0,1014.2,5.7,73,10.3
58,2022-02-17 01:24:00,5.50,WNW,292.00,0,0,1014.1,5.7,73,10.3
59,2022-02-17 01:29:00,2.10,N,352.00,0,0,1014.3,5.6,73,10.2
60,2022-02-17 01:34:00,1.40,NNE,20.00,0,0,1014.3,5.6,73,10.2
61,2022-02-17 01:39:00,0.00,NNW,343.00,0,0,1014.2,5.6,73,10.2
62,2022-02-17 01:44:00,6.10,N,356.00,0,0,1014.2,5.7,74,10.1
63,2022-02-17 01:49:00,4.70,W,262.00,0,0,1014.2,5.6,73,10.2
