,data,velocità vento [km/h],cardinalità vento,direzione vento [°],pioggia cumulata [mm],pioggia istantanea [mm],pressione [hPa],temperatura di rugiada [°C],umidità relativa [%],temperatura [°C]
0,2022-05-14 16:44:00,4.30,SW,214.00,0,0,1018,10.9,46,23.1
1,2022-05-14 16:49:00,7.20,N,2.00,0,0,1017.8,10,43,23.2
2,2022-05-14 16:54:00,15.40,NW,312.00,0,0,1017.9,10.1,44,23
3,2022-05-14 16:59:00,2.10,WNW,290.00,0,0,1018,9.7,43,22.9
4,2022-05-14 17:04:00,2.90,SSW,200.00,0,0,1017.8,10.4,46,22.6
5,2022-05-14 17:09:00,5.00,S,182.00,0,0,1018.1,10.9,48,22.4
6,2022-05-14 17:14:00,2.10,N,350.00,0,0,1018.2,10.4,47,22.2
7,2022-05-14 17:19:00,17.20,W,281.00,0,0,1018,10.9,48,22.4
8,2022-05-14 17:24:00,1.80,NW,322.00,0,0,1018.1,10.7,49,21.9
9,2022-05-14 17:29:00,11.90,WNW,286.00,0,0,1018,10.5,49,21.6
10,2022-05-14 17:34:00,0.30,NNW,347.00,0,0,1018.2,10.7,50,21.5
11,2022-05-14 17:39:00,13.40,W,266.00,0,0,1018.4,10.5,50,21.3
12,2022-05-14 17:44:00,16.90,NW,314.00,0,0,1018.2,10.1,49,21.2
13,2022-05-14 17:49:00,9.30,WSW,240.00,0,0,1018.3,10.4,50,21.2
14,2022-05-14 17:54:00,0.30,N,1.00,0,0,1018.4,10.5,51,21
15,2022-05-14 17:59:00,14.80,NW,324.00,0,0,1018.5,10.1,50,20.9
16,2022-05-14 18:04:00,4.70,W,266.00,0,0,1018.4,9.8,49,20.9
17,2022-05-14 18:09:00,6.10,WNW,299.00,0,0,1018.3,10,50,20.8
18,2022-05-14 18:14:00,10.50,WNW,282.00,0,0,1018.5,9.7,49,20.8
19,2022-05-14 18:19:00,7.60,WNW,295.00,0,0,1018.4,10,50,20.8
20,2022-05-14 18:24:00,2.10,NNW,336.00,0,0,1018.5,9.7,49,20.8
21,2022-05-14 18:29:00,7.20,WSW,244.00,0,0,1018.1,9.2,47,20.9
22,2022-05-14 18:34:00,7.90,ENE,63.00,0,0,1018.2,9.2,47,20.9
23,2022-05-14 18:39:00,2.10,NW,319.00,0,0,1018.2,8.9,46,20.9
24,2022-05-14 18:44:00,2.60,N,359.00,0,0,1018.4,8.7,45,21
25,2022-05-14 18:49:00,9.30,NNW,347.00,0,0,1018.4,8.4,44,21.1
26,2022-05-14 18:54:00,4.70,ENE,76.00,0,0,1018.6,8.1,43,21.1
27,2022-05-14 18:59:00,3.50,E,96.00,0,0,1018.6,8.4,44,21.1
28,2022-05-14 19:04:00,3.20,SSE,157.00,0,0,1018.7,8.1,43,21.1
29,2022-05-14 19:09:00,4.00,NE,46.00,0,0,1018.5,7.8,42,21.2
30,2022-05-14 19:14:00,0.60,NNW,341.00,0,0,1018.6,7.7,42,21.1
