,data,velocità vento [km/h],cardinalità vento,direzione vento [°],pioggia cumulata [mm],pioggia istantanea [mm],pressione [hPa],temperatura di rugiada [°C],umidità relativa [%],temperatura [°C]
0,2022-06-05 06:04:00,2.10,W,264.00,0,0,1017.5,15.9,40,31
1,2022-06-05 06:09:00,6.10,WSW,243.00,0,0,1017.6,15.2,38,31.1
2,2022-06-05 06:14:00,3.50,WNW,302.00,0,0,1017.4,16.4,40,31.6
3,2022-06-05 06:19:00,4.00,W,270.00,0,0,1017.5,16.4,40,31.6
4,2022-06-05 06:24:00,1.80,N,11.00,0,0,1017.5,16.4,39,32
5,2022-06-05 06:29:00,1.10,N,357.00,0,0,1017.5,16.8,40,32
6,2022-06-05 06:34:00,5.00,W,275.00,0,0,1017.8,15.5,37,32
7,2022-06-05 06:39:00,6.90,WSW,255.00,0,0,1017.6,15.5,36,32.5
8,2022-06-05 06:44:00,8.20,WNW,303.00,0,0,1017.6,15.1,35,32.5
9,2022-06-05 06:49:00,12.60,W,261.00,0,0,1017.7,14.6,34,32.4
10,2022-06-05 06:54:00,17.20,W,264.00,0,0,1017.6,13.9,33,32.2
11,2022-06-05 06:59:00,13.70,W,260.00,0,0,1017.6,14.5,34,32.3
12,2022-06-05 07:04:00,13.70,W,276.00,0,0,1017.9,14.5,34,32.3
13,2022-06-05 07:09:00,19.50,WSW,258.00,0,0,1017.5,14.6,34,32.4
14,2022-06-05 07:14:00,13.40,W,259.00,0,0,1017.5,14.7,34,32.6
15,2022-06-05 07:19:00,17.20,W,266.00,0,0,1017.5,14.3,33,32.6
16,2022-06-05 07:24:00,11.10,WSW,240.00,0,0,1017.5,14.3,33,32.6
17,2022-06-05 07:29:00,15.10,WSW,255.00,0,0,1017.4,14.6,33,32.9
18,2022-06-05 07:34:00,13.70,WNW,295.00,0,0,1017.5,14.7,33,33.1
19,2022-06-05 07:39:00,9.30,W,267.00,0,0,1017.4,15.3,34,33.2
20,2022-06-05 07:44:00,10.10,WSW,252.00,0,0,1017.5,15.9,35,33.4
21,2022-06-05 07:49:00,10.10,WSW,240.00,0,0,1017.5,15.6,34,33.6
22,2022-06-05 07:54:00,9.30,W,268.00,0,0,1017.7,16.2,35,33.7
23,2022-06-05 07:59:00,8.70,W,281.00,0,0,1017.5,16.5,35,34.1
24,2022-06-05 08:04:00,4.00,N,5.00,0,0,1017.6,17.7,36,35
25,2022-06-05 08:09:00,3.50,N,4.00,0,0,1017.6,17.6,37,34.3
26,2022-06-05 08:14:00,1.10,N,351.00,0,0,1017.7,16.9,35,34.6
27,2022-06-05 08:19:00,0.30,NNW,343.00,0,0,1017.7,16.5,34,34.6
28,2022-06-05 08:24:00,0.30,N,4.00,0,0,1017.8,16.8,34,35
29,2022-06-05 08:29:00,1.40,NNE,21.00,0,0,1017.6,16.8,36,33.9
30,2022-06-05 08:34:00,1.80,N,355.00,0,0,1017.7,17.5,36,34.7
31,2022-06-05 08:39:00,4.00,SSE,147.00,0,0,1017.7,17.6,38,33.9
32,2022-06-05 08:44:00,13.00,S,175.00,0,0,1017.8,18.4,43,32.6
33,2022-06-05 08:49:00,5.50,E,93.00,0,0,1017.8,17.2,45,30.4
34,2022-06-05 08:54:00,11.90,S,182.00,0,0,1017.7,17.2,44,30.8
35,2022-06-05 08:59:00,9.70,WNW,297.00,0,0,1018,16.6,42,31
36,2022-06-05 09:04:00,10.50,S,179.00,0,0,1017.7,16.3,39,31.9
37,2022-06-05 09:09:00,4.00,SSW,211.00,0,0,1017.5,17.1,40,32.4
38,2022-06-05 09:14:00,10.50,SSE,159.00,0,0,1017.7,15.8,37,32.3
39,2022-06-05 09:19:00,4.70,SE,133.00,0,0,1017.7,16.1,37,32.6
40,2022-06-05 09:24:00,5.00,ENE,59.00,0,0,1017.7,16.9,42,31.3
41,2022-06-05 09:30:00,10.10,S,183.00,0,0,1017.8,18.7,47,31.3
42,2022-06-05 09:34:00,11.90,S,178.00,0,0,1017.7,18.7,49,30.6
43,2022-06-05 09:39:00,9.70,S,169.00,0,0,1017.6,17.8,47,30.4
44,2022-06-05 09:44:00,11.10,SSE,154.00,0,0,1017.7,18.1,48,30.3
45,2022-06-05 09:50:00,4.70,SE,129.00,0,0,1017.9,18.4,48,30.6
46,2022-06-05 09:54:00,9.30,S,183.00,0,0,1018.1,18.4,49,30.2
47,2022-06-05 09:59:00,10.10,S,173.00,0,0,1018,18.2,52,29
48,2022-06-05 10:04:00,5.80,SW,220.00,0,0,1018,18.1,50,29.6
49,2022-06-05 10:09:00,12.60,S,170.00,0,0,1017.9,17.5,48,29.6
50,2022-06-05 10:14:00,10.80,S,180.00,0,0,1017.9,17.7,48,29.9
51,2022-06-05 10:19:00,7.20,S,179.00,0,0,1018.1,17.3,46,30.2
52,2022-06-05 10:24:00,6.90,SSE,158.00,0,0,1018.1,16.8,44,30.4
53,2022-06-05 10:29:00,9.70,S,189.00,0,0,1018.1,17.6,45,30.9
54,2022-06-05 10:34:00,9.00,SW,214.00,0,0,1017.8,17.1,44,30.7
55,2022-06-05 10:39:00,9.00,SSW,194.00,0,0,1018,15.7,40,30.8
56,2022-06-05 10:44:00,8.70,S,184.00,0,0,1018,15.9,40,31.1
57,2022-06-05 10:49:00,5.00,SW,222.00,0,0,1018.1,16.6,40,31.8
58,2022-06-05 10:54:00,6.40,SSW,209.00,0,0,1017.8,15.6,37,32.1
59,2022-06-05 10:59:00,6.90,SW,228.00,0,0,1017.9,15.6,36,32.6
60,2022-06-05 11:04:00,4.70,SE,143.00,0,0,1017.7,16.5,38,32.6
61,2022-06-05 11:09:00,4.00,S,173.00,0,0,1018.1,16.6,40,31.8
62,2022-06-05 11:14:00,4.70,NNE,27.00,0,0,1017.7,16.8,41,31.6
63,2022-06-05 11:19:00,9.30,S,188.00,0,0,1017.9,17.3,41,32.2
64,2022-06-05 11:24:00,7.90,SW,223.00,0,0,1017.8,17.6,42,32.1
65,2022-06-05 11:29:00,7.90,SSE,160.00,0,0,1017.6,17.2,42,31.6
66,2022-06-05 11:34:00,9.30,SSE,156.00,0,0,1017.7,16.9,41,31.7
67,2022-06-05 11:39:00,7.90,SSW,196.00,0,0,1017.4,17,41,31.9
68,2022-06-05 11:44:00,4.70,SE,132.00,0,0,1017.4,16.9,39,32.6
69,2022-06-05 11:49:00,7.20,SSW,213.00,0,0,1017.4,17.4,40,32.7
70,2022-06-05 11:54:00,5.80,NNW,341.00,0,0,1017.4,17.9,41,32.8
71,2022-06-05 11:59:00,6.10,SSE,157.00,0,0,1017.3,16.8,40,32.1
72,2022-06-05 12:04:00,3.50,S,176.00,0,0,1017.5,16.8,40,32.1
73,2022-06-05 12:09:00,11.10,SSW,192.00,0,0,1017.3,15.3,37,31.7
74,2022-06-05 12:14:00,6.40,SSW,212.00,0,0,1017.4,15.5,40,30.6
75,2022-06-05 12:19:00,13.40,ESE,118.00,0,0,1017.6,16,40,31.2
76,2022-06-05 12:24:00,6.40,SSW,211.00,0,0,1017.2,16.8,44,30.4
77,2022-06-05 12:29:00,2.10,N,352.00,0,0,1017.4,16.9,43,30.9
78,2022-06-05 12:34:00,6.10,S,170.00,0,0,1017.1,17.1,43,31.1
79,2022-06-05 12:39:00,6.10,S,178.00,0,0,1017.3,17.1,45,30.3
80,2022-06-05 12:44:00,2.90,ENE,59.00,0,0,1017.2,17.3,43,31.4
81,2022-06-05 12:49:00,2.60,NNE,25.00,0,0,1017.3,17.9,43,32
82,2022-06-05 12:54:00,3.20,E,97.00,0,0,1017.2,17.7,45,31
83,2022-06-05 12:59:00,2.10,ENE,70.00,0,0,1017.1,18.6,47,31.2
84,2022-06-05 13:04:00,4.70,SE,131.00,0,0,1016.9,18.2,45,31.5
85,2022-06-05 13:09:00,4.70,ESE,108.00,0,0,1017.1,17.9,45,31.2
86,2022-06-05 13:14:00,6.40,S,169.00,0,0,1017,18,47,30.6
87,2022-06-05 13:19:00,5.00,ESE,122.00,0,0,1017.1,18.4,48,30.6
88,2022-06-05 13:24:00,6.10,SE,124.00,0,0,1016.9,19.8,52,30.7
89,2022-06-05 13:29:00,6.10,E,84.00,0,0,1016.9,19.3,51,30.6
90,2022-06-05 13:34:00,6.10,E,84.00,0,0,1017.1,19.3,51,30.6
91,2022-06-05 13:39:00,5.80,SSE,155.00,0,0,1017,20.2,54,30.6
92,2022-06-05 13:44:00,4.70,SE,128.00,0,0,1016.8,20.1,52,31.1
93,2022-06-05 13:49:00,9.00,SSE,160.00,0,0,1017,19.5,54,29.8
94,2022-06-05 13:54:00,2.90,ESE,122.00,0,0,1016.8,19.8,55,29.8
95,2022-06-05 13:59:00,9.30,ESE,119.00,0,0,1016.7,19.5,55,29.5
96,2022-06-05 14:04:00,7.60,E,82.00,0,0,1016.9,19.1,52,30
97,2022-06-05 14:09:00,5.80,SSE,148.00,0,0,1016.8,19.2,52,30.1
98,2022-06-05 14:14:00,5.80,SE,132.00,0,0,1016.7,19.7,54,30
99,2022-06-05 14:19:00,5.00,SE,139.00,0,0,1016.9,19.6,54,29.9
100,2022-06-05 14:24:00,3.50,SE,130.00,0,0,1017.3,19.7,57,29.1
101,2022-06-05 14:29:00,7.90,SW,214.00,0,0,1016.9,20.1,56,29.8
102,2022-06-05 14:34:00,6.40,E,95.00,0,0,1016.6,19.9,56,29.6
103,2022-06-05 14:39:00,4.00,ENE,63.00,0,0,1016.8,20.3,56,30
104,2022-06-05 14:44:00,7.90,SSE,155.00,0,0,1016.7,20.6,59,29.4
105,2022-06-05 14:49:00,4.30,SSE,161.00,0,0,1016.8,19.7,57,29
106,2022-06-05 14:54:00,6.40,SE,140.00,0,0,1016.6,20.2,59,29
107,2022-06-05 14:59:00,7.90,ESE,115.00,0,0,1016.5,20.5,59,29.3
108,2022-06-05 15:04:00,4.70,WNW,302.00,0,0,1016.7,20.6,58,29.7
109,2022-06-05 15:09:00,0.00,NNW,335.00,0,0,1016.6,20,58,29.1
110,2022-06-05 15:14:00,1.40,WNW,282.00,0,0,1016.6,19.8,55,29.8
111,2022-06-05 15:19:00,1.10,W,274.00,0,0,1016.3,20.3,57,29.7
112,2022-06-05 15:24:00,2.10,SSE,162.00,0,0,1016.4,20.6,55,30.6
113,2022-06-05 15:29:00,1.40,NW,322.00,0,0,1016.4,20.2,55,30.2
114,2022-06-05 15:34:00,0.30,NW,313.00,0,0,1016.3,21.4,58,30.6
115,2022-06-05 15:39:00,2.10,N,350.00,0,0,1016.5,21,59,29.8
116,2022-06-05 15:44:00,3.50,N,1.00,0,0,1016.2,21.5,64,29
117,2022-06-05 15:49:00,1.10,NNE,20.00,0,0,1016.4,21.2,63,28.9
118,2022-06-05 15:54:00,0.00,NW,326.00,0,0,1016.2,21.1,61,29.4
119,2022-06-05 15:59:00,2.10,N,357.00,0,0,1016.2,19.8,56,29.5
120,2022-06-05 16:04:00,1.40,NNW,327.00,0,0,1016.2,18.7,52,29.5
121,2022-06-05 16:09:00,0.30,NW,321.00,0,0,1015.9,19.6,54,29.9
122,2022-06-05 16:14:00,2.10,N,352.00,0,0,1016.1,20,55,30
123,2022-06-05 16:19:00,2.10,NNW,335.00,0,0,1015.9,20.4,57,29.8
124,2022-06-05 16:24:00,2.10,WNW,283.00,0,0,1015.9,20.3,56,30
125,2022-06-05 16:29:00,1.40,NNW,342.00,0,0,1015.9,20.4,55,30.4
126,2022-06-05 16:34:00,0.00,NW,314.00,0,0,1016,19.8,51,31.1
127,2022-06-05 16:39:00,2.10,NNW,327.00,0,0,1015.8,16.8,40,32.1
128,2022-06-05 16:44:00,2.60,NNW,341.00,0,0,1016,16.7,39,32.4
