,data,velocità vento [km/h],cardinalità vento,direzione vento [°],pioggia cumulata [mm],pioggia istantanea [mm],pressione [hPa],temperatura di rugiada [°C],umidità relativa [%],temperatura [°C]
0,2022-05-08 18:14:00,2.90,SW,229.00,44.2,0,1016.5,13.4,97,13.8
1,2022-05-08 18:19:00,0.30,NW,315.00,44.7,0.5,1016.5,13.5,97,13.9
2,2022-05-08 18:24:00,0.60,NW,314.00,45,0.3,1016.7,13.5,97,13.9
3,2022-05-08 18:29:00,4.70,WNW,293.00,45.2,0.2,1016.6,13.5,97,13.9
4,2022-05-08 18:34:00,2.90,NW,315.00,45.2,0,1016.7,13.4,97,13.8
5,2022-05-08 18:39:00,6.40,WNW,295.00,45.2,0,1016.7,13.3,97,13.7
6,2022-05-08 18:44:00,5.00,WSW,253.00,45.2,0,1016.8,13.3,97,13.7
7,2022-05-08 18:49:00,6.10,W,263.00,45.5,0.3,1016.9,13.3,97,13.7
8,2022-05-08 18:54:00,1.10,WNW,286.00,45.5,0,1016.9,13.3,97,13.7
9,2022-05-08 18:59:00,3.50,N,358.00,45.5,0,1017.1,13.4,97,13.8
10,2022-05-08 19:04:00,0.00,NNW,341.00,45.7,0.2,1017,13.3,97,13.7
11,2022-05-08 19:09:00,1.40,NNW,344.00,46,0.3,1017,13.5,97,13.9
12,2022-05-08 19:14:00,5.80,N,353.00,46,0,1016.9,13.4,97,13.8
13,2022-05-08 19:19:00,2.10,NNW,341.00,46,0,1017,13.5,97,13.9
14,2022-05-08 19:24:00,1.80,N,5.00,46,0,1017,13.7,98,14
15,2022-05-08 19:29:00,3.50,NNE,23.00,46,0,1017,14.1,97,14.5
16,2022-05-08 19:34:00,9.70,NNW,348.00,46.2,0.2,1017.1,14.2,98,14.5
17,2022-05-08 19:39:00,6.10,N,9.00,46.5,0.3,1016.8,14.7,98,15
18,2022-05-08 19:44:00,9.30,NNW,331.00,46.5,0,1017,14.7,97,15.1
19,2022-05-08 19:49:00,8.20,NNE,23.00,46.7,0.2,1017,14.7,97,15.1
20,2022-05-08 19:54:00,6.10,WSW,251.00,46.7,0,1017.1,14.8,97,15.2
21,2022-05-08 19:59:00,7.20,NE,39.00,46.7,0,1017.1,14.9,97,15.3
22,2022-05-08 20:04:00,7.60,N,359.00,46.7,0,1017.2,14.9,97,15.3
23,2022-05-08 20:09:00,9.30,ESE,118.00,46.7,0,1017.4,14.9,97,15.3
24,2022-05-08 20:14:00,1.40,ENE,70.00,47,0.3,1017.5,14.9,97,15.3
25,2022-05-08 20:19:00,7.20,NE,44.00,47.5,0.5,1017.3,15,97,15.4
26,2022-05-08 20:24:00,5.80,NE,46.00,47.5,0,1017.5,15,97,15.4
27,2022-05-08 20:29:00,5.00,E,91.00,47.8,0.3,1017.4,15,97,15.4
28,2022-05-08 20:34:00,7.60,NE,50.00,47.8,0,1017.3,15,97,15.4
29,2022-05-08 20:39:00,9.30,E,91.00,47.8,0,1017.4,15.1,97,15.5
30,2022-05-08 20:44:00,7.90,NNE,19.00,47.8,0,1017.2,15.1,97,15.5
31,2022-05-08 20:49:00,9.00,ENE,62.00,47.8,0,1017.3,15.1,97,15.5
32,2022-05-08 20:54:00,8.20,NE,39.00,47.8,0,1017.5,15.1,97,15.5
33,2022-05-08 20:59:00,7.90,NNE,20.00,47.8,0,1017.3,15,97,15.4
34,2022-05-08 21:04:00,8.70,NE,44.00,47.8,0,1017.4,15.1,97,15.5
35,2022-05-08 21:09:00,8.70,NNE,33.00,47.8,0,1017.5,15.1,97,15.5
36,2022-05-08 21:14:00,7.60,NNE,33.00,47.8,0,1017.5,15.1,97,15.5
37,2022-05-08 21:19:00,10.50,NE,41.00,48,0.2,1017.5,15.1,97,15.5
38,2022-05-08 21:24:00,6.40,ENE,62.00,48,0,1017.6,15.1,97,15.5
39,2022-05-08 21:29:00,7.60,NNE,12.00,48,0,1017.6,15.2,97,15.6
40,2022-05-08 21:34:00,10.50,N,7.00,48,0,1017.7,15.2,97,15.6
41,2022-05-08 21:39:00,2.60,N,8.00,48,0,1017.9,15.2,97,15.6
42,2022-05-08 21:44:00,6.90,NE,55.00,48,0,1017.9,15.2,97,15.6
43,2022-05-08 21:49:00,9.30,N,351.00,48,0,1017.7,15.3,97,15.7
44,2022-05-08 21:54:00,6.40,NE,47.00,48,0,1017.6,15.3,97,15.7
45,2022-05-08 22:00:00,5.00,NNE,19.00,0,0,1017.8,15.3,97,15.7
46,2022-05-08 22:04:00,4.70,NNE,26.00,0,0,1017.8,15.3,97,15.7
47,2022-05-08 22:09:00,5.00,ENE,67.00,0,0,1017.6,15.3,97,15.7
48,2022-05-08 22:14:00,4.30,NNE,33.00,0,0,1017.6,15.3,97,15.7
49,2022-05-08 22:19:00,6.40,ENE,60.00,0,0,1017.7,15.3,97,15.7
50,2022-05-08 22:24:00,9.30,NE,45.00,0,0,1017.7,15.3,97,15.7
51,2022-05-08 22:29:00,8.20,NE,52.00,0,0,1017.5,15.3,97,15.7
52,2022-05-08 22:34:00,6.10,NE,52.00,0,0,1017.5,15.3,97,15.7
53,2022-05-08 22:39:00,7.60,NNE,30.00,0,0,1017.6,15.4,98,15.7
54,2022-05-08 22:44:00,4.70,N,3.00,0,0,1017.6,15.3,97,15.7
55,2022-05-08 22:49:00,7.90,NE,36.00,0.3,0.3,1017.5,15.3,97,15.7
56,2022-05-08 22:54:00,9.70,ENE,61.00,2.3,2,1017.7,15.4,98,15.7
57,2022-05-08 23:00:00,8.20,NE,43.00,2.8,0.5,1017.5,15.4,98,15.7
58,2022-05-08 23:04:00,5.50,NE,38.00,4.3,1.5,1017.7,15.2,98,15.5
59,2022-05-08 23:09:00,7.90,E,91.00,4.6,0.3,1017.8,14.3,97,14.7
60,2022-05-08 23:14:00,2.90,NE,44.00,8.1,3.5,1017.7,14.7,98,15
61,2022-05-08 23:19:00,9.00,NNE,26.00,8.9,0.8,1017.6,15,98,15.3
62,2022-05-08 23:24:00,5.50,N,0.00,8.9,0,1017.6,15.2,98,15.5
63,2022-05-08 23:29:00,8.20,ENE,77.00,8.9,0,1017.8,15.4,98,15.7
64,2022-05-08 23:34:00,4.30,NNE,24.00,8.9,0,1017.6,15.4,98,15.7
65,2022-05-08 23:39:00,4.00,NNW,337.00,8.9,0,1017.5,15.4,98,15.7
66,2022-05-08 23:44:00,7.90,ENE,59.00,8.9,0,1017.5,15.4,98,15.7
67,2022-05-08 23:49:00,10.50,NNE,26.00,8.9,0,1017.6,15.4,98,15.7
68,2022-05-08 23:54:00,5.00,ENE,67.00,8.9,0,1017.7,15.4,98,15.7
69,2022-05-09 00:00:00,7.60,N,10.00,8.9,0,1017.3,15.4,98,15.7
70,2022-05-09 00:04:00,13.00,NE,46.00,8.9,0,1017.4,15.3,98,15.6
71,2022-05-09 00:09:00,8.20,NNE,12.00,8.9,0,1017.4,15.2,98,15.5
72,2022-05-09 00:14:00,7.90,NNE,19.00,8.9,0,1017.4,15.2,98,15.5
73,2022-05-09 00:19:00,7.90,ENE,77.00,8.9,0,1017.2,15.1,98,15.4
74,2022-05-09 00:24:00,7.90,NNE,12.00,8.9,0,1017.3,15.1,98,15.4
75,2022-05-09 00:29:00,12.20,NE,45.00,8.9,0,1017.2,15.2,98,15.5
76,2022-05-09 00:34:00,9.70,NE,54.00,8.9,0,1017.3,15.2,98,15.5
77,2022-05-09 00:39:00,8.20,NNE,15.00,8.9,0,1017.1,15.2,98,15.5
78,2022-05-09 00:44:00,8.70,NNE,33.00,8.9,0,1017.2,15.1,98,15.4
79,2022-05-09 00:49:00,8.70,N,7.00,8.9,0,1017.3,15.1,98,15.4
80,2022-05-09 00:54:00,4.70,ENE,59.00,8.9,0,1017.3,15.1,98,15.4
81,2022-05-09 00:59:00,7.20,ESE,116.00,8.9,0,1017.9,15.2,98,15.5
82,2022-05-09 01:04:00,6.90,SSW,204.00,11.7,2.8,1018.1,14,97,14.4
83,2022-05-09 01:09:00,1.40,W,273.00,20.3,8.6,1017.8,13.5,97,13.9
84,2022-05-09 01:14:00,6.90,WSW,237.00,24.4,4.1,1018,13.5,97,13.9
85,2022-05-09 01:19:00,4.00,NNW,345.00,27.7,3.3,1017.8,13.4,97,13.8
86,2022-05-09 01:24:00,0.00,NW,318.00,31.5,3.8,1017.8,13.5,98,13.8
87,2022-05-09 01:29:00,3.20,SW,222.00,35.8,4.3,1018,13.6,97,14
88,2022-05-09 01:34:00,5.00,W,262.00,40.9,5.1,1017.7,13.6,97,14
89,2022-05-09 01:39:00,1.80,NW,314.00,44,3.1,1018,13.5,97,13.9
90,2022-05-09 01:44:00,5.80,WSW,255.00,46,2,1017.8,13.6,98,13.9
91,2022-05-09 01:49:00,0.60,NNW,337.00,48,2,1017.9,13.7,98,14
92,2022-05-09 01:54:00,1.40,SW,231.00,49.8,1.8,1018.1,13.7,98,14
93,2022-05-09 01:59:00,4.00,WSW,249.00,55.1,5.3,1017.9,13.8,98,14.1
