,data,velocità vento [km/h],cardinalità vento,direzione vento [°],pioggia cumulata [mm],pioggia istantanea [mm],pressione [hPa],temperatura di rugiada [°C],umidità relativa [%],temperatura [°C]
0,2021-12-27 07:49:00,6.40,SW,219.00,0.7,0,1012.5,12.1,82,15.2
1,2021-12-27 07:54:00,7.90,W,265.00,0.7,0,1012.6,12.1,80,15.5
2,2021-12-27 07:59:00,2.90,SW,235.00,0.7,0,1012.9,12.2,81,15.5
3,2021-12-27 08:04:00,0.00,NNW,334.00,0.7,0,1012.9,12.1,80,15.5
4,2021-12-27 08:09:00,0.00,N,349.00,0.7,0,1012.8,12.6,78,16.4
5,2021-12-27 08:14:00,4.70,NNW,336.00,0.7,0,1012.7,13.0,80,16.5
6,2021-12-27 08:19:00,2.10,N,7.00,0.7,0,1012.8,13.0,82,16.1
7,2021-12-27 08:24:00,0.00,NNW,337.00,0.7,0,1013.0,13.2,82,16.3
8,2021-12-27 08:29:00,7.20,SSW,213.00,0.7,0,1012.8,12.2,76,16.4
9,2021-12-27 08:34:00,4.30,SW,228.00,0.7,0,1012.9,12.6,75,17.1
10,2021-12-27 08:39:00,4.30,WSW,257.00,0.7,0,1013.0,12.4,74,17.0
11,2021-12-27 08:44:00,11.10,SW,232.00,0.7,0,1013.2,12.2,73,17.1
12,2021-12-27 08:49:00,13.70,W,261.00,0.7,0,1013.3,12.1,75,16.5
13,2021-12-27 08:54:00,7.90,W,281.00,0.7,0,1013.3,11.6,74,16.2
14,2021-12-27 08:59:00,11.90,SW,234.00,0.7,0,1013.3,11.8,76,16.0
15,2021-12-27 09:04:00,14.80,WSW,237.00,0.7,0,1013.3,11.7,77,15.7
16,2021-12-27 09:09:00,9.30,SW,235.00,0.7,0,1013.0,11.7,78,15.5
17,2021-12-27 09:14:00,9.00,W,267.00,1.0,0.3,1013.0,12.2,80,15.6
18,2021-12-27 09:19:00,12.60,W,271.00,1.0,0,1013.1,12.2,80,15.6
19,2021-12-27 09:24:00,7.60,SW,218.00,1.0,0,1013.0,12.3,82,15.4
20,2021-12-27 09:29:00,10.80,W,260.00,1.0,0,1013.1,12.3,83,15.2
21,2021-12-27 09:34:00,4.00,NNW,340.00,1.0,0,1013.0,12.6,83,15.5
22,2021-12-27 09:39:00,9.70,W,279.00,1.0,0,1012.8,12.2,82,15.3
23,2021-12-27 09:44:00,13.40,W,279.00,1.0,0,1013.2,12.3,83,15.2
24,2021-12-27 09:49:00,9.70,WSW,242.00,1.2,0.2,1013.0,12.2,82,15.3
25,2021-12-27 09:54:00,12.20,WNW,286.00,1.2,0,1012.6,12.6,82,15.7
26,2021-12-27 09:59:00,9.00,SW,220.00,1.2,0,1012.8,12.8,81,16.1
27,2021-12-27 10:04:00,11.10,W,278.00,1.2,0,1012.7,12.5,79,16.1
28,2021-12-27 10:09:00,18.30,W,259.00,1.2,0,1012.8,12.7,80,16.1
29,2021-12-27 10:14:00,14.80,WSW,240.00,1.2,0,1012.7,12.5,80,15.9
30,2021-12-27 10:19:00,10.50,W,260.00,1.2,0,1012.6,12.6,79,16.2
31,2021-12-27 10:24:00,16.60,NW,311.00,1.2,0,1012.4,12.3,79,15.9
32,2021-12-27 10:29:00,14.00,WSW,250.00,1.2,0,1012.4,12.0,79,15.6
33,2021-12-27 10:34:00,11.10,W,271.00,1.2,0,1012.5,12.0,80,15.4
34,2021-12-27 10:38:00,14.00,WSW,245.00,1.2,0,1012.4,11.7,78,15.5
35,2021-12-27 10:44:00,9.70,W,273.00,1.2,0,1012.2,12.2,77,16.2
36,2021-12-27 10:49:00,8.20,W,281.00,1.2,0,1012.3,12.2,75,16.6
37,2021-12-27 10:54:00,7.90,SW,223.00,1.2,0,1012.4,12.2,76,16.4
38,2021-12-27 10:59:00,15.10,WSW,249.00,1.2,0,1012.3,11.9,76,16.1
39,2021-12-27 11:04:00,18.00,SW,233.00,1.2,0,1012.3,11.5,75,15.9
40,2021-12-27 11:09:00,7.60,WSW,247.00,1.2,0,1012.2,11.9,74,16.5
41,2021-12-27 11:14:00,8.70,SW,230.00,1.2,0,1012.2,11.7,73,16.5
42,2021-12-27 11:19:00,19.50,NW,304.00,1.2,0,1012.3,11.7,72,16.8
43,2021-12-27 11:24:00,9.00,WSW,254.00,1.2,0,1012.3,11.5,72,16.6
44,2021-12-27 11:29:00,11.60,W,261.00,1.2,0,1012.0,11.7,74,16.3
45,2021-12-27 11:34:00,5.50,W,269.00,1.2,0,1012.0,11.6,75,16.0
46,2021-12-27 11:39:00,3.50,SW,216.00,1.2,0,1012.0,11.8,75,16.2
47,2021-12-27 11:44:00,11.10,SW,233.00,1.2,0,1012.1,11.9,74,16.5
48,2021-12-27 11:49:00,0.30,WNW,302.00,1.2,0,1011.8,12.0,75,16.4
49,2021-12-27 11:54:00,10.10,WSW,243.00,1.2,0,1011.8,12.0,73,16.9
50,2021-12-27 11:59:00,13.70,WSW,254.00,1.2,0,1011.9,12.0,74,16.6
51,2021-12-27 12:04:00,6.40,NW,304.00,1.2,0,1011.7,12.2,74,16.8
52,2021-12-27 12:09:00,10.10,WSW,256.00,1.2,0,1011.8,12.1,74,16.7
53,2021-12-27 12:14:00,12.60,WNW,299.00,1.2,0,1011.6,12.1,74,16.7
54,2021-12-27 12:19:00,9.00,W,273.00,1.2,0,1011.9,12.2,74,16.8
55,2021-12-27 12:24:00,9.30,WSW,250.00,1.2,0,1011.8,12.2,74,16.8
56,2021-12-27 12:29:00,15.40,W,274.00,1.2,0,1011.6,11.9,72,17.0
57,2021-12-27 12:34:00,7.60,WNW,295.00,1.2,0,1011.5,11.7,72,16.8
58,2021-12-27 12:39:00,6.40,WSW,241.00,1.2,0,1011.5,11.8,72,16.9
59,2021-12-27 12:44:00,6.40,WSW,244.00,1.2,0,1011.4,12.0,72,17.1
60,2021-12-27 12:49:00,14.00,WSW,243.00,1.2,0,1011.5,12.0,71,17.3
61,2021-12-27 12:54:00,7.90,WSW,248.00,1.2,0,1011.6,12.1,72,17.2
62,2021-12-27 12:59:00,15.40,W,271.00,1.2,0,1011.5,11.8,71,17.1
63,2021-12-27 13:04:00,8.70,W,263.00,1.2,0,1011.5,11.8,70,17.3
64,2021-12-27 13:09:00,4.70,NNW,344.00,1.2,0,1011.4,12.0,70,17.5
65,2021-12-27 13:14:00,5.00,WNW,298.00,1.2,0,1011.5,12.1,70,17.6
66,2021-12-27 13:19:00,8.70,SSW,210.00,1.2,0,1011.4,12.2,71,17.5
67,2021-12-27 13:24:00,9.70,W,267.00,1.2,0,1011.4,11.5,70,17.0
68,2021-12-27 13:29:00,4.00,W,263.00,1.2,0,1011.6,11.6,70,17.1
69,2021-12-27 13:34:00,7.90,NW,313.00,1.2,0,1011.7,11.8,69,17.5
70,2021-12-27 13:39:00,3.50,WSW,258.00,1.2,0,1011.7,11.9,70,17.4
71,2021-12-27 13:44:00,7.90,WSW,243.00,1.2,0,1011.8,11.7,70,17.2
72,2021-12-27 13:49:00,4.00,SW,235.00,1.2,0,1011.5,11.4,69,17.1
73,2021-12-27 13:54:00,6.40,WNW,289.00,1.2,0,1011.9,11.6,69,17.3
74,2021-12-27 13:59:00,6.10,WSW,258.00,1.2,0,1012.0,11.5,71,16.8
75,2021-12-27 14:04:00,6.10,W,271.00,1.2,0,1011.9,11.4,71,16.7
76,2021-12-27 14:09:00,14.30,WSW,248.00,1.2,0,1012.1,11.3,70,16.8
77,2021-12-27 14:14:00,7.20,WNW,290.00,1.2,0,1011.9,11.2,71,16.5
78,2021-12-27 14:19:00,5.50,SW,223.00,1.2,0,1011.8,11.0,71,16.3
79,2021-12-27 14:24:00,9.30,SW,225.00,1.2,0,1011.9,11.2,72,16.3
